;1;2;3;4;5;
behindernd;0,063;0,313;0;0,375;0,25;unterstützend
kompliziert;0,125;0,313;0,188;0,25;0,125;einfach
ineffizient;0,125;0,25;0,125;0,313;0,188;effizient
verwirrend;0,125;0,313;0,125;0,375;0,063;übersichtlich
langweilig;0,063;0;0,375;0,438;0,125;spannend
uninteressant;0;0;0,313;0,375;0,313;interessant
konventionell;0,063;0,188;0,25;0,375;0,125;originell
herkömmlich;0,125;0,188;0,188;0,375;0,125;neuartig
