;1;2;3;4;5;
behindernd;0;0,111;0,167;0,389;0,333;unterstützend
kompliziert;0,056;0;0,278;0,333;0,333;einfach
ineffizient;0,056;0,111;0,222;0,333;0,278;effizient
verwirrend;0;0,222;0,222;0,222;0,333;übersichtlich
langweilig;0,111;0,111;0,333;0,333;0,111;spannend
uninteressant;0,118;0,059;0,353;0,294;0,176;interessant
konventionell;0,294;0,235;0,294;0,118;0,059;originell
herkömmlich;0,278;0,333;0,222;0,167;0;neuartig
