;1;2;3;4;5;
behindernd;0;0,04;0,24;0,24;0,48;unterstützend
kompliziert;0;0;0,16;0,24;0,6;einfach
ineffizient;0;0,04;0,08;0,36;0,52;effizient
verwirrend;0;0;0,16;0,36;0,48;übersichtlich
langweilig;0,04;0,08;0,28;0,32;0,28;spannend
uninteressant;0;0,04;0,2;0,36;0,4;interessant
konventionell;0,16;0,12;0,24;0,32;0,16;originell
herkömmlich;0,12;0,12;0,28;0,36;0,12;neuartig
