;1;2;3;4;5;
behindernd;0;0,12;0,08;0,44;0,36;unterstützend
kompliziert;0;0,12;0,08;0,32;0,48;einfach
ineffizient;0;0,08;0,16;0,28;0,48;effizient
verwirrend;0,042;0;0,208;0,417;0,333;übersichtlich
langweilig;0,125;0,125;0,333;0,292;0,125;spannend
uninteressant;0,042;0,208;0,167;0,417;0,167;interessant
konventionell;0,167;0,208;0,25;0,292;0,083;originell
herkömmlich;0,125;0,208;0,208;0,333;0,125;neuartig
