;1;2;3;4;5;
behindernd;0;0;0,08;0,12;0,8;unterstützend
kompliziert;0;0,12;0,16;0,32;0,4;einfach
ineffizient;0;0;0,04;0,28;0,68;effizient
verwirrend;0;0,12;0,12;0,4;0,36;übersichtlich
langweilig;0;0;0,08;0,36;0,56;spannend
uninteressant;0;0;0;0,52;0,48;interessant
konventionell;0;0;0,083;0,375;0,542;originell
herkömmlich;0;0;0,12;0,2;0,68;neuartig
