;1;2;3;4;5;
behindernd;0,038;0,154;0,038;0,346;0,423;unterstützend
kompliziert;0,038;0,115;0,115;0,308;0,423;einfach
ineffizient;0;0,077;0,115;0,385;0,423;effizient
verwirrend;0;0,115;0;0,423;0,462;übersichtlich
langweilig;0,077;0,077;0,231;0,423;0,192;spannend
uninteressant;0,038;0,154;0,192;0,462;0,154;interessant
konventionell;0,077;0,346;0,231;0,231;0,115;originell
herkömmlich;0,08;0,36;0,16;0,36;0,04;neuartig
