;1;2;3;4;5;
behindernd;0,038;0,038;0,115;0,462;0,346;unterstützend
kompliziert;0,077;0,077;0,077;0,423;0,346;einfach
ineffizient;0,038;0,077;0,038;0,385;0,462;effizient
verwirrend;0,038;0,038;0,154;0,423;0,346;übersichtlich
langweilig;0,038;0,077;0,115;0,385;0,385;spannend
uninteressant;0,038;0,115;0,077;0,346;0,423;interessant
konventionell;0,038;0,154;0,231;0,269;0,308;originell
herkömmlich;0,038;0,077;0,192;0,423;0,269;neuartig
