;1;2;3;4;5;
behindernd;0,083;0,208;0,125;0,208;0,375;unterstützend
kompliziert;0,125;0,208;0,083;0,292;0,292;einfach
ineffizient;0,125;0,083;0,167;0,25;0,375;effizient
verwirrend;0,042;0,042;0,25;0,417;0,25;übersichtlich
langweilig;0,125;0,083;0,25;0,375;0,167;spannend
uninteressant;0,083;0,125;0,167;0,458;0,167;interessant
konventionell;0,083;0,292;0,167;0,375;0,083;originell
herkömmlich;0,042;0,167;0,25;0,292;0,25;neuartig
