behindernd;0,0%;11,1%;16,7%;38,9%;33,3%;unterstützend
kompliziert;5,6%;0;27,8%;33,3%;33,3%;einfach
ineffizient;5,6%;11,1%;22,2%;33,3%;27,8%;effizient
verwirrend;0,0%;22,2%;22,2%;22,2%;33,3%;übersichtlich
langweilig;11,1%;11,1%;33,3%;33,3%;11,1%;spannend
uninteressant;11,8%;5,9%;35,3%;29,4%;17,6%;interessant
konventionell;29,4%;23,5%;29,4%;11,8%;5,9%;originell
herkömmlich;27,8%;33,3%;22,2%;16,7%;0,0%;neuartig
;;;;;;
;;;;;;
;;;;;;
