;1;2;3;4;5;
behindernd;0,125;0,063;0,125;0,313;0,375;unterstützend
kompliziert;0,125;0,125;0;0,25;0,5;einfach
ineffizient;0,133;0,133;0,067;0,333;0,333;effizient
verwirrend;0;0,063;0,125;0,375;0,438;übersichtlich
langweilig;0,188;0,125;0,5;0,188;0;spannend
uninteressant;0;0,188;0,375;0,188;0,25;interessant
konventionell;0,125;0,375;0,25;0,25;0;originell
herkömmlich;0,188;0,438;0,313;0,063;0;neuartig
