;1;2;3;4;5;
behindernd;0,125;0,25;0,188;0,063;0,375;unterstützend
kompliziert;0,063;0,188;0,375;0,313;0,063;einfach
ineffizient;0,25;0,188;0,125;0,25;0,188;effizient
verwirrend;0,063;0,125;0,313;0,313;0,188;übersichtlich
langweilig;0,063;0,125;0,438;0,375;0;spannend
uninteressant;0,125;0,063;0,438;0,313;0,063;interessant
konventionell;0,063;0,125;0,5;0,188;0,125;originell
herkömmlich;0,063;0,25;0,438;0,125;0,125;neuartig
